title,url,source,category,published,summary,image
Pegiat para-atlet Indonesia terima apresiasi dari Presiden IPC,https://www.antaranews.com/berita/5649435/pegiat-para-atlet-indonesia-terima-apresiasi-dari-presiden-ipc,Antara,,7 menit lalu,Pegiat para-atlet Indonesia Natalia Tjahja mendapat apresiasi dari Presiden Komite Paralimpiade Internasional (IPC) ...,
"Surplus beras Sumsel diserap hingga luar provinsi, produksi terus naik",https://www.antaranews.com/video/5649413/surplus-beras-sumsel-diserap-hingga-luar-provinsi-produksi-terus-naik,Antara,Video,9 menit lalu,ANTARA - Sumatera Selatan mempertahankan status sebagai daerah surplus beras dalam dua tahun terakhir. Produksi ...,
Pemprov Kepri bangun dua SMKN di Batam untuk tampung minat vokasi,https://www.antaranews.com/berita/5649431/pemprov-kepri-bangun-dua-smkn-di-batam-untuk-tampung-minat-vokasi,Antara,,12 menit lalu,Pemerintah Provinsi Kepulauan Riau (Kepri) membangun dua Sekolah Menengah Kejuruan Negeri (SMKN) baru di Kota Batam ...,
Jasa Raharja: Integrasi data PKB tingkatkan kepatuhan wajib pajak,https://www.antaranews.com/berita/5649424/jasa-raharja-integrasi-data-pkb-tingkatkan-kepatuhan-wajib-pajak,Antara,,13 menit lalu,"PT Jasa Raharja menyebutkan, penguatan integrasi data nasional sebagai strategi utama dalam meningkatkan kepatuhan ...",
Menkomdigi: Pemberantasan judol harus dilakukan secara menyeluruh,https://www.antaranews.com/berita/5649421/menkomdigi-pemberantasan-judol-harus-dilakukan-secara-menyeluruh,Antara,,14 menit lalu,Menteri Komunikasi dan Digital (Menkomdigi) Meutya Hafid menegaskan bahwa pemberantasan judi online atau ...,
UNIB akan menyeleksi 1.367 calon mahasiswa asing dari 60 negara,https://www.antaranews.com/berita/5649417/unib-akan-menyeleksi-1367-calon-mahasiswa-asing-dari-60-negara,Antara,,16 menit lalu,Universitas Bengkulu (UNIB) akan menyeleksi 1.367 calon mahasiswa asing yang telah menyelesaikan proses pendaftaran ...,
Mensos berpesan MPLS harus aman dan nyaman tanpa perpeloncoan,https://www.antaranews.com/berita/5649416/mensos-berpesan-mpls-harus-aman-dan-nyaman-tanpa-perpeloncoan,Antara,,16 menit lalu,"Menteri Sosial (Mensos), Saifullah Yusuf atau Gus Ipul berpesan kepada semua pihak untuk menciptakan suasana aman ...",
Menkop dorong transformasi koperasi petani tebu,https://www.antaranews.com/berita/5649411/menkop-dorong-transformasi-koperasi-petani-tebu,Antara,,26 menit lalu,"Menteri Koperasi Ferry Juliantoro mendorong transformasi koperasi petani tebu agar semakin profesional, produktif, dan ...",
KAI Daop 7 Madiun larang petani bakar jerami di dekat jalur kereta,https://www.antaranews.com/berita/5649403/kai-daop-7-madiun-larang-petani-bakar-jerami-di-dekat-jalur-kereta,Antara,,26 menit lalu,"PT Kereta Api Indonesia (Persero) Daerah Operasi (Daop) 7 Madiun, Jawa Timur, melarang masyarakat khususnya petani, ...",
"Pacu pertumbuhan IKM, Banjarmasin fasilitasi izin edar bagi 100 usaha",https://www.antaranews.com/video/5649380/pacu-pertumbuhan-ikm-banjarmasin-fasilitasi-izin-edar-bagi-100-usaha,Antara,Video,26 menit lalu,ANTARA - Pemerintah Kota Banjarmasin terus mendorong kemajuan Industri Kecil Menengah (IKM) lokal. Salah satunya dengan ...,
Polisi sebut pelaku peledakan bom di MAN 3 Padang korban perundungan,https://www.antaranews.com/video/5649321/polisi-sebut-pelaku-peledakan-bom-di-man-3-padang-korban-perundungan,Antara,Video,30 menit lalu,ANTARA - Polresta Padang membenarkan adanya peristiwa ledakan bom rakitan pada salah satu ruang kelas di Madrasah ...,
Mensos buka MPLS perdana Sekolah Rakyat permanen di Sragen,https://www.antaranews.com/berita/5649397/mensos-buka-mpls-perdana-sekolah-rakyat-permanen-di-sragen,Antara,,31 menit lalu,Menteri Sosial Saifullah Yusuf (Gus Ipul) membuka secara resmi kegiatan Masa Pengenalan Lingkungan Sekolah (MPLS) di ...,
Tom Holland puji penampilan Erling Haaland selama Piala Dunia,https://www.antaranews.com/berita/5649393/tom-holland-puji-penampilan-erling-haaland-selama-piala-dunia,Antara,,33 menit lalu,"Aktor Tom Holland memuji penampilan penyerang tim nasional Norwegia Erling Haaland selama Piala Dunia FIFA 2026, ...",
